Date;Price;Open;High;Low;Vol.;Change %
May 21, 2018;2332.63;2328.42;2347.93;2328.42;-;0.24%
May 18, 2018;2326.94;2323.75;2338.94;2321.93;-;0.15%
May 17, 2018;2323.51;2342.22;2346.04;2323.51;-;-0.64%
May 16, 2018;2338.39;2336.52;2350.49;2328.86;-;0.06%
May 15, 2018;2337.03;2353.22;2354.11;2330.59;-;-0.87%
May 14, 2018;2357.62;2345.93;2358.59;2326.27;-;0.53%
May 11, 2018;2345.26;2317.60;2346.98;2317.53;-;1.40%
May 10, 2018;2312.92;2315.39;2322.45;2303.15;-;0.47%
May 08, 2018;2301.99;2292.78;2301.99;2277.17;-;0.21%
May 07, 2018;2297.12;2294.10;2313.73;2292.63;-;0.33%
May 04, 2018;2289.47;2278.90;2294.35;2278.90;-;0.68%
May 03, 2018;2274.07;2303.34;2313.85;2274.07;-;-1.40%
May 02, 2018;2306.42;2304.28;2317.43;2298.52;-;-0.03%
Apr 30, 2018;2307.02;2296.11;2322.38;2289.33;-;0.42%
Apr 28, 2018;2297.30;2300.85;2300.85;2288.23;-;-0.18%
Apr 27, 2018;2301.49;2287.95;2302.54;2281.49;-;0.68%
Apr 26, 2018;2286.02;2255.66;2286.73;2253.92;-;1.44%
Apr 25, 2018;2253.50;2245.06;2253.50;2229.66;-;-0.01%
Apr 24, 2018;2253.77;2260.17;2270.61;2245.57;-;0.12%
Apr 23, 2018;2250.99;2232.33;2250.99;2212.16;-;0.82%
Apr 20, 2018;2232.66;2231.08;2242.72;2222.81;-;0.09%
Apr 19, 2018;2230.55;2248.08;2265.92;2219.49;-;-0.49%
Apr 18, 2018;2241.49;2193.73;2246.60;2191.67;-;2.30%
Apr 17, 2018;2191.19;2173.45;2191.19;2165.21;-;2.22%
